Zeitung;RP;Tagesspiegel;Welt;Spiegel;Zeit
;klausmick: Quatsch.;;"-> Frank M.: @Veit G. 
Das ist richtig.
Die erwähnten Argumente der Befürworter habe ich mehrfach gelesen und gehört.
In dem Buch ""Richtig Gendern für Dummies"" kommt z.B. der Begriff ""drittes Geschlecht"" in diesem Zusammenhang vor.";Kommentar wurde vom Nutzer gelöscht;
;-> More84: Setzen sich doch mal mit unseren geltenden Rechtschreib- und Grammatikregeln (rot) auseinander. 'https://d.docs.live.net/0cd4392566bcd063/[Mappe 'https://d.docs.live.net/0cd4392566bcd063/[Mappe 2.xlsx]Tabelle1'!$A$16;"einliberaler : Ich finde es sehr interessant wieviele Worte es braucht, um über den Umweg des Englischen letztlich bei der Erkenntnis zu landen, dass die ganze Gederei nicht zielführend sei und dass z.B. mit dem generischen Maskulinum ""Bäcker"" doch tatsächlich auch schwule, schwarze, jüdische, ja sogar weibliche und von mir aus auch diverse diesen Beruf ausübende Menschen gemeint sein könnten (und es ja auch tatsächlich sind). 

Und noch interessanter finde ich, dass man offenbar mit gaaaanz viel Nachdenken, Sprechen und Schreiben über das Thema Gendern zu (pseudo-)wissenschaftlichem Ruhm und manchmal sogar zu Geld kommen kann.

Liegt bestimmt daran, dass ich (52, weiß, männlich) quasi das perfekte Feindbild bin bei dem Thema. ";"-> Jörg H.: Ja, auch mir geht schwer auf den Sack (rot), dass eine absolute Minderheit hier meint den öffentlichen Diskurs bestimmen zu müssen (gelb/rot)! 

Und, dass unsere inkompetenten Politiker sich hier auch noch vor den Karren spannen lassen (rot)! 

Früher hätte man solche Leute wahrscheinlich als Klassenclown bezeichnet und damit wäre es erledigt gewesen (rot)…";-> -> Elias-ZZKPaGU7R : Genau... Männer die Angst vor Machtverlust haben... Das ist wie so n Totschlagargument (rot). Die Gendernden sind diejenigen, die jeden Bezug zur Realität verloren haben und ein derart angeschlagenes Selbstvertrauen haben, dass sie alles anstößig finden, was ihrem Eho schadet (rot).;"Intellektueller Zugang : 

Ich möchte Befürworter wie Gegner der Gendersprache einladen, die Dinge einmal von meiner Warte aus zu sehen. Als schwuler Mann (42) gehöre ich zu jenen Gruppen, die durch den Genderstern sichtbar gemacht werden sollen. Das Problem ist nur: Ich möchte in dieser Form nicht sichtbar gemacht werden. Durch den Genderstern und seine Abwandlungen, fühle ich mich sexualisiert und markiert. Als würde mit dem Finger auf mich gezeigt. Meine Identität wird missbraucht, um sich auf der Seite der vermeintlich Guten zu platzieren. Das ist anmaßend und selbstsüchtig. Die Treiber der Sprachumwandlung erzeugen Unfrieden und beschwören Sprachprobleme herauf, die es in dem oft dargestellten Umfang nie gegeben hat.

Aufgrund meines vermeintlichen Andersseins habe ich Ausgrenzung, Schikane und Gewalt erlebt. Heute lebe ich gemeinsam mit meinem Mann ein zufriedenes und, wenn man so will, weitgehend „normales“ Leben. Folgende Generationen sollen es einmal einfacher haben. Der Kampf für Gleichheit ist und bleibt wichtig. Doch bitte nicht auf dem Rücken unserer Sprache! Sie ist auch mein persönlich wertvollstes Ausdrucksmittel. Durch Eingriffe wie das Gendern (und selbstverständlich auch den exzessiven Gebrauch englischer Vokabeln), verliert sie ihre Genauigkeit und poetische Kraft. Gendersprache wird dazu führen, dass viele Menschen gegenderte Inhalte und die Probleme der LGBT-Community nicht mehr ernst nehmen werden!
"
;;;bis hierhin 14;"-> 100tausend: Die Regel gibt es: alles Negative wird nicht gegendert (rot). Es gibt nur Täter, Kapitalisten, Vermieter etc. (gelb)
Ansonsten wird alles gegendert, z. B. Pferd:in und Bär:in.";
;fernblick : Schnee von gestern! In den Redaktionen hat man/frau längst ein neues Ziel aufs Panier geschrieben: die Grammatik-Reform ist längst im Gange.;"brezelberger : Zuerst Einmal vielen Dank für diesen ausführlichen Artikel, es freute mich sehr, einen guten Artikel zu diesem Thema zu lesen.

Vorab: Ich spare mir die Genderformen in meinem Kommentar, ich bitte darum, sich diese einfach dazu zu denken. Warum? später mehr!

Ich finde es gut, wenn auf die Diskriminierung gegenüber anderen Geschlechtern, insbesondere wenn es um Einschätzungen der Leistungen und Vergütungen geht. Meiner Meinung nach kann man nur aus dem Geschlecht, als welches jemand geboren wurde oder sich als dieses Identifiziert, nicht auf dessen Leistungen rückschließen - Es mag auch zB schwache Männer geben oder starke Frauen. 

Dem Ansatz des Gendern stehe ich dennoch seit es Stück für Stück vor einigen Jahren begann mit einigem Argwohn gegenüber. Es klingt im ersten Moment nach einer guten Idee, aber es zieht viele Probleme nach sich.

Eines dieser Probleme ist, wie sicher auch andere Leser und Kommentatoren angemerkt haben, sind viele Worte trotz der angehängten Femininen Endung ohne diese noch in der Maskulinen Form. Ein Beispiel: Der Verkäufer - Die Verkäuferin. Das IN wurde nur angehangen. Wird die maskuline Form entfernt, hätten wir Verkäufin. Das habe ich aber noch nirgends gesehen oder gehört.

Ein weiteres Problem, was mich persönlich auch betrifft, ist eine gewisse Unsicherheit beim Verfassen von Texten, insbesondere wenn man in einer Position ist, bei der nicht nur eine kleine Personengruppe den Text liest. Ich bin in einer Hochschule als Student organisiert, wir veranstalten oft Partys (immerhin bis Anfang diesen Jahres…) und abgesehen davon, dass viele unserer Einladungen mittlerweile zur Hälfte aus Genderformen bestehen, geht der Text oft durch mehrere Hände um wirklich jeden Fehler auszuschließen - ist was falsch (irgendwie ist das aber immer so) rennen ein paar Leute bei uns Sturm. Kann man machen, finde ich aber gerade bei einer Einladung vollkommen überzogen. Meine Meinung!";M.O: Besonders abturnend bei dem Versuch, künstlich eine diskriminierungsfreie Sprache anzuordnen, empfinde ich, dass genau diejenigen, die dafür plädieren, andererseits keinerlei Probleme mit Kopftuch, Burka, Kinderehe, Zwangsheirat haben. Da können Feministinnen aus und in arabischen und afrikanischen etc. Ländern noch so flehen. Hier wird dann von dieser gender-beflissenen Gruppe das patriarchal-hierarchische Menschenbild etlicher Zugewanderter als schützenswerte kulturelle Angelegenheit deklariert. Es geht den dahinterstehenden Parteien um kein respektvolles Miteinander, sondern gerade um Spaltung - das ist bequem und rechnet sich für sie.;bis hierhin 20 Kommis;"Petersbacher : 

Eigentlich ist das mit den Geschlechtern nur EIN Thema: Gerechtigkeit.

Das mit irgendwelchen Sprachregelungen hinzukriegen, ist m.Es der völlig falsche Weg.

Dass im Deutschen der männliche Begriff bei Unbestimmtheit gleichzeitig der sächliche ist (gibt sicher einen grammatikalischen Begriff dafür) ist eine Eigenheit - aber das sollte man mit einem kleiner Denkanstrengung doch wirklich zu bewältigen sein.

Natürlich meint ""der Pilot"" gleichzeitig ""die Pilotin"" und ""den Piloten"" - solange es allgemein den Menschen mit der Berufsbezeichnung betrifft.

Wer darin eine Benachteiligung oder eine Wertung sieht, ist m.Mn. nach wirklich auf dem Holzweg. Das ist kompletter Unsinn.

Und immer noch ist das - weitaus grössere- Problem, dass z.B. ein/e Intendant*In das zigfache verdient wie eine Kassenkraft. Die ""gender-pay-Lücke "" hat nix mit Gender zu tun, sondern mit den Klassenzugehörigkeiten und ausgeübtem Beruf. Weil wir Leistung nicht wirklich adäquat entlohnen, sondern nach Marktwert und Kaste.

Dass das die überbezahlte Intetendantin oder die Managerin oder Rechtsanwältibn oder oder oder nicht hören will, machts nicht weniger wahr - und auch nicht besser.
"
;;"-> brezelberger: Fortsetzung, aufgrund der Zeichenbeschränkung:

Letzter Punkt, eher als Konsument von Artikeln und Texten; die Gendersprache ist oft holprig und macht Texte künstlich länger aber oft auch schlechter lesbar (rot). Wie oben geschrieben, oft verzichte ich absichtlich auf das “Durchgendern” meiner Texte (grün/rot), ich möchte meinem Kommentar einen guten Redefluss geben und gehe davon aus, dass der geneigte Leser/die geneigte Leserin sich automatisch die für sich passende Form bilden kann (gelb). 

In anderen Ländern, wie im Artikel zB mit Großbritannien benannt, gibt es ein System was sofern ich es aus diesem Artikel verstanden habe, gut mit den maskulinen Formen funktioniert (gelb); warum halten wir uns also damit auf, unsere Sprache künstlich zu verkomplizieren und damit indirekt sogar sexistisch und diskriminierend zu machen anstatt eine einheitliche Form zu finden und wirklich an den Problemen wie Pay Gap zu arbeiten (rot)? ";-> Alois Hingerl: Ideologie kennt halt keine äußere Logik, nur eine innere (rot).;MomiMati: Die Feministinnen wollen heterosexuelle Männer sprachlich ausgrenzen. Laut Duden ist das falsch und muss im Diktat als Fehler angestrichen werden.;
;Hardy11 : Mit sowas befasst sich die Sprachwissenschaft und das völlig zu Recht. Gendern. Der Begriff, der mich sprachlos zurücklässt mit Feststellung das dieses Land krank ist und jeden Mist aus dem Boden haut.;"-> pinke: Und

    ﻿ich möchte meinem Kommentar einen guten Redefluss geben und gehe davon aus, dass der geneigte Leser/die geneigte Leserin sich automatisch die
    für sich passende Form bilden kann. 

fordere das praktisch einfach ein, passt schon. Ist aber nicht das Thema!";"Claus-Berndt S.: Die Welt steht aktuell vor dermaßen vielen fast unüberschaubaren immensen Problemen und Aufgaben, dass man sich eigentlich primär und mit vollem Einsatz um deren (vor allen Dingen komplett zu Ende gedachte, realisierbare und einwandfrei durchorganisierte!!) Lösungen für zumindest die allergrößten/drängendsten kümmern sollte.
Insofern kann ich -zumindest nicht zum aktuellen Zeitpunkt- diese m.E. völlig sinnfreie Genderei, welche zudem letztendlich die Gesellschaft/die Gesellschaftsgruppen zunehmend spalten statt einen wird, nicht im Geringsten nachvollziehen.
Es würde mich einmal interessieren, ob eigentlich ein einziges anderes Land auf dem Globus existiert, welches die bewusste sprachliche Unterscheidung nach den Damen und Herren der Schöpfung (wo bleibt Divers??) bereits in jeder Hinsicht vornimmt oder dermaßen vehement auf eine Differenzierung hinarbeitet?
Armes Deutschland!";MaXLmustermann: Wie sehen Sie Männer sprachlich ausgegrenzt?;"MenschMitMeinung : Denkt dabei eigentlich jemand an die Personen, die nach Deutschland kommen und sich mit hohen Anstrengungen integrieren müssen? Abgesehen davon, das viele ein komplett neues Alphabet lernen müssen, neue Schriftzeichen, gilt die deutsche Sprache auch schon so als eine sehr schwer zu lernende.
Mal weiter gedacht: Diese Leute kommen z.T. aus Kulturen, in denen Gleichberechtigung eher zu den frommen Wünschen von Aussenstehenden gehört. Wie soll hier dann Aufklärung stattfinden, wenn die Texte noch schwerer lesbar werden, weil jedes Wort jetzt nicht nur wie im Wörterbuch beschrieben sondern auch in zig anderen Varianten vorkommt? Muss man diesen gestressten, oft durch Krieg und Flucht psychisch belasteten Menschen dann auch noch eine solche Transferleistung zumuten?
Soll dann alles in die entsprechende Muttersprache übersetzt werden? Wenn ja, ist das Integration, wenn dann doch alle Informationen in Muttersprache vorliegen und der Anreiz, die Landessprache zu lernen, damit nicht mehr besteht?
Meiner Meinung nach sind die z.T. bereits umgesetzten Forderungen nicht zu Ende gedacht."
;-> Winterwind: Der Begriff, der mich sprachlos zurücklässt mit Feststellung das dieses Land krank ist und jeden Mist aus dem Boden haut.;"-> samtripp:     ﻿Der Verkäufer - Die Verkäuferin. Das IN wurde nur angehangen. Wird die maskuline Form entfernt, hätten wir Verkäufin. Das habe ich aber noch nirgends gesehen oder gehört.

Das ist ja der Witz an der Geschichte. Das Suffix -er verweist eben nicht auf einen Mann. Es ist keine Endung, die das maskuline Geschlecht der Person anzeigt (rot). -er ist ein Suffix, das sowohl zur Derivation von Personenbezeichnungen von Tätigkeiten (backen > Bäcker) als auch von Geräten (fliegen > Flieger) genutzt wird (gelb). Es gibt nur sehr wenige Ausnahmen, wo aus einem ursprünglich femininen Wort ""die Witwe"" ein männliches Pendant abgeleitet wurde ""der Witwer""(gelb/grün).

Wenn -er wirklich ein maskulines Suffix wäre, dann könnte man es ja weglassen und damit das Wort geschlechtsneutral machen. Dann hätten wir ""Bäck"". Genau das geht nicht. Deshalb ist diese gesamte Diskussion auch so hirnrissig (grün).

Es gibt keine explizit männliche Form (rot). Der Mann muss sich im Wort ""Bäcker"" angesprochen fühlen. Die Endung -in wird an das Wort ""Bäcker"" drangehängt und hebt das Geschlecht der Person hervor (gelb). Das ist der irrwitzige Sexismus, der Sexismus bekämpfen soll (rot).";"-> Nico D.: ""Die Welt steht aktuell vor dermaßen vielen fast unüberschaubaren immensen Problemen und Aufgaben, dass man sich eigentlich primär und mit vollem Einsatz um deren (vor allen Dingen komplett zu Ende gedachte, realisierbare und einwandfrei durchorganisierte!!) Lösungen für zumindest die allergrößten/drängendsten kümmern sollte.""
Darum können die, die einen vernünftigen Beruf erlernt und ihrem Leben einen Sinn gegeben haben, sich doch kümmern (rot). Die Anderen müssen aber auch irgendwie die Zeit rumkriegen (gelb).";"KeyserSoze: Es gibt auch Männer, die den Beruf der Hebamme ergriffen haben. Bis 2020 als ""Entbindungspfleger"" bezeichnet.
Aber, Zitat:
""Mit der Reform der Hebammenausbildung ab 2020 soll die Berufsbezeichnung „Hebamme“ einheitlich für alle Geschlechter gelten. Die männliche Sonderbezeichnung „Entbindungspfleger“ entfällt.""

Wie nennt man jetzt den ehemaligen Entbindungspfleger? Immer noch die Hebamme, oder der Hebammer oder, um alle einzuschließen, die Hebammer:Innen?";
;;"Interessanter Artikel! Als Ergänzung empfehle ich einen Text von Daniel Scholten: Deutsch für Dichter und Denker, https://www.belleslettres.eu/buch/index.php Literat: Der Text geht auf die historischen Wurzeln des völlig unsystematischen Genus-Systems im Deutschen ein. Zentrale Erkenntnis: aus dem grammatischen Geschlecht im Deutschen kann man praktisch nie ableiten, ob das Bezeichnete männlich oder weiblich ist. Insofern ist ""generisches Maskulinum"" genauso ein Pleonasmus wie ""kaltes Eis"": Männer sind nur mitgemeint, das ""Maskulinum"" ist gar nicht männlich, sondern immer generisch.";"Fabian P.: Vielen Dank an die ""Welt""-Redaktion, dass unter dem Artikel eine Voting-Option ergänzt wurde. Ich zähle derzeit lediglich 2 % Contra-Stimmen. 98 % hingegen schließen sich der Meinung der Autorin an. Es würde mich sehr interessieren, wie ein entsprechendes Voting bei der taz ausfallen würde... Ich vermute jedoch, dass sich auch unter den taz-Lesern etliche befinden, die der Gendersprache wenig abgewinnen können.";Geburtshelfer / Hebamme.;simplemindedfool : Mir wäre es am liebsten wenn für die nächsten 2000 Jahre das generische Femininum eingeführt würde. Keine Ironie, keine Provokation ,mein Ernst.
;Rolf-christian62 : Na endlich!;;Rudi W.: Man kann es eigentlich nicht oft genug wiederholen: In den Sprachgruppen, bei denen es kein Genus gibt - z.B. Ungarisch, Finnisch, Türkisch, weitgehend auch Englisch - müsste es eigentlich den Frauen deutlich besser gehen als bei uns oder in Frankreich oder Island, wenn das Gendern irgendeine Bedeutung hätte. Aber diesen Zusammenhang gibt es nicht. Das Gendern als Antidiskriminierungsmaßnahme ist der größte Fake überhaupt.;;"-> MarkusMueller75: ""Generisches Femininum""?
Schön ausgedacht von Ihnen.
Prognose: Wird nicht kommen. (rot)"
;;;;100tausend: Und wie heißt dann ein Diverser mit dem Beruf?;
;"Winterwind : Besonders kompetent können diese Sprachwissenschaftler nicht sein. Sprachwissenschaftler sollten wissen, dass es ihre Aufgabe ist, den Sprachgebrauch zu beobachten. Es gibt nämlich keine in Stein gemeißelten sprachliche Regeln. Es fehlt den angeblichen Sprachwissenschaftlern nämlich völlig am historischen Bewusstsein für Sprache. ( Leider werden im Artikel keine Namen genannt.) Die deutsche Sprache, wie wir sie heute kennen, hat sich historisch entwickelt. Dabei haben immer bewusste Eingriffe als Neuerungen der bestehenden Sprache eine Rolle gespielt. Begriffe wie ""Lehrgang"", ""Stelldichein"" oder ""Flugzeug"" waren als Wortneuschöpfungen durch Sprachgesellschaften bewusste Eingriffe in die Sprache. Jetzt wird von vielen Menschen wieder das Bedürfnis für die Einführung neuer Ausdrucksmöglichkeiten gesehen. Die neuen Ausdrücke haben sich mittlerweile schon recht weit durchgesetzt. Eigentlich müsste man als Sprachwissenschaftler das Gendern in seinen verschiedenen Formen schlicht und einfach als Sprachvariation feststellen. Welche Form des Genderns sich am Ende durchsetzen wird, wird die Zeit zeigen. Aber schlicht zu sagen, Gendern verstoße gegen die Regeln der Sprache ist unwissenschaftlich. Aber ganz offensichtlich ist der Aufruf kein wissenschaftliches, sondern ein politisches Papier.";"pinke: Ich befürchte,
﻿Männer sind nur mitgemeint, das ""Maskulinum"" ist gar nicht männlich, sondern immer generisch.
diese Argumentation kommt gelegen, greift aber viel zu kurz.";"Frank M.: Frau Hümpel, vielen vielen Dank, Sie sprechen uns (meiner Frau und mir und vielen unserer Bekannten) aus der Seele.
Vieles ist in den Kommentaren schon gesagt. Es macht uns betroffen, wie wenig vernünftige Leute in öffentlichen bzw. höheren Stellungen sich dagegen wehren. An den Unis wird z. B. kritiklos mitgemacht, da sonst Fördergelder nicht mehr fließen würden; nur ein Beispiel.
Viele gedankenlose Menschen reihen sich in das Heer der naiven Gutmenschen ein, die aus ihrer Sicht auf der richtigen Seite der Macht stehen, demütig die Gender-Ideologie vertreten und dabei eine Sprachlosigkeit in Form einer ruinierten und vergewaltigten Sprache offenbaren.
Es sollten sich immer mehr wehren; wir tun dies mit E-Mails an Duden und ARD/ZDF u.a. und entsprechenden Kommentaren und Kritiken.
Man schaue sich doch nur mal obiges Verhältnis bei ""Daumen hoch oder runter"" an - nur ca. 2% halten den Beitrag für unangemessen. Das schreit eigentlich buchstäblich nach einer Volksbefragung.
Aber bei Ideologien der Herrschenden ist sowas tabu. Wir sind wieder in einer Diktatur.
";MaXLmustermann: Das ist gar nicht die ganz große Frage beim Gendern. Da Menschen die Möglichkeit haben zu kommunizieren, kann man das Individuum dann fragen, wie es sich selbst bezeichnet wissen möchte.;
;"Traumdeuter: Winterwind lesen Sie all diese Informationen aus diesem Artikel? Kennen Sie diesen Aufruf ? Sind Ihnen diese 70 Linguisten namentlich bekannt ? Das muss so sein, woher wissen Sie , dass diesen Herren das historische Bewusstsein ""völlig"" fehlt . Zumindest müssen Sie wissen, dass es Herren sind sonst hätten Sie Wissenschaftlerinnen geschrieben. Wo finde ich den Aufruf , an wen haben die Wissenschaftler den Aufruf gerichtet ? Vielleicht können Sie einen Hinweis geben, Sie haben soviel aus dem Artikel herauslesen können.";"stunner: Die Leseprobe hat viel Spaß gemacht.
Und nun? Was machen wir mit dem menschlichen Verstand?";"peter d.: Noch sind wir im neunten Kreise der nächsten Links-Diktatur.
Doch nachdem sie sich nach 89 getrennt marschierend wieder sammeln konnte - so zumindest die Wahlbarmeter und das keke Vorgehen in den ÖR - wird sie mit an Sicherheit grenzender Wahrscheinlichkeit als Troika im Oktober 21 gemeinsam zuschlagen.
Alle Zeichen der Zeit zeigen den kommenden Sturm an.
Aber - keinen interessiert es.
Die ÖR haben bereits ihren Deal gemacht.

Uns, die wir angeblich das Volk, ja sogar der Souerän sind, gibt man jetzt noch die Möglichkeit das Wegducken zu üben. Die neue Sprache soll uns dabei helfen!
Vielleicht können uns auch ein alte DDR-Vertranen ein paar Tipps geben, wie man den Häschern der Sprach- und Gedankenpolizei entgeht, denn auch nichts mehr sagen macht verdächtig.

Ab Herbst 2021 wird es ernst, wenn die R2G-Koaltion auch die CDU wieder zu dem macht, was sie in der DDR war - ein Blockpartei.";"KeyserSoze: @MaxXLmustermann
Richtig, kein Problem in der direkten Kommunikation. Es geht aber um das Geschriebene.";"Paxvo: Zu meinem vorigen Kommentar:
Vielleicht hat man sich in der Redaktion an dem Wort ""grunzen"" gestört, aber ob dieses Geräusch, das man da hinten im Rachen erzeugen muss, nun ""vorschriftsmäßig"" als Knacken oder eigenbestimmt als kurzes Grunzen bezeichnet wird, hilft doch auch niemandem.

Beide Worte zeigen so oder so, dass man mit der gemeinten Personengruppe respektlos umgeht. Das macht aber, objektiv gesehen, nicht mein Kommentar, denn ich will ja nicht ""knacken"" oder sonstwas, sondern das machen die ""Genderer""."
;offroader: Jetzt wird von vielen Menschen wieder das Bedürfnis für die Einführung neuer Ausdrucksmöglichkeiten gesehen. Aha, sehr vermessen, bei einer Ablehnung von 75-80% von vielen Menschen zu sprechen. Es handelt sich wohl eher um eine lärmende Minderheit, die mit allen Mitteln ihre Ideologie durchsetzen will.;"notorischernoergler: Schön, dass es so viele Leute gibt, die sich mit *innen beschäftigen: Das sind die Auswüchse dieser heutigen ideenlosen Verschwender-Gesellschaft, die für die Probleme von heute (Dreck, CO-zwei, Klimakatastrophe, Flüchtlingswellen, Wassermangel, usf.) verantwortlich ist. Ich gönne all diesen ""Besorgten"" existenzielle Nöte wie z. B. das Anstehen um das tägliche viel zu wenige Brot etc. (in der 3. Welt keine Seltenheit!). Vielleicht lernen diese Leute dann – sollten sie überhaupt lernfähig sein –, zwischen Bedürfnissen und Pseudobedürfnissen zu unterscheiden!";Jens D.: Hab mich mal schlau gemacht, und seitdem komme ich aus dem lachen nicht mehr raus. Die weibliche Form des Berufes Zimmermann heißt Zimmermännin 🤣😂🤣😂🤣😂. Bei mir sind jetzt alle Frauen nur noch Männinen. Wie bekloppt können diese Sprachvergewaltiger nur sein.;8g32NBdKjZwrZMKXmMtoe6: einfach -eer oder -eeral dranhängen.;"limübe: Es ist ziemlich egal, ob mein Nachbar oder die Freundin meiner Tochter ""gendert"", ob sich meine Enkeltochter mit ihren Freunden im aktuellen, mir völlig unverständlichem ""Jugendsprech"" unterhält, ob sich jemand nur noch in ""Anglizismen"" ausdrücken kann oder ob jemand den Genitiv durch den Dativ austauscht, jeder ist seiner eigenen Ausdrucksweise Schmied.
Im öffentlichen Raum hingegen, in den Verwaltungen, in den Gesetzestexten, den Medien, den Schulen und Universitäten, sollte nach wie vor eine fehlerfreie Sprache benutzt werden.
Wenn die öffentlichen Institutionen jedoch allen Menschen sprachlich eine moralische, politische Haltung aufzwingen, dann wird es gefährlich! Und auch dann, wenn der Autor die ""Genderkritiker"" in die rechte Ecke rücken will.
Und wie ist es in den Ländern, die schon immer keine bestimmten Artikel haben, deren Sprache sozusagen genderneutral ist, gibt es dort keine Schwierigkeiten oder Ungerechtigkeiten für Frauen, Homosexuelle, Transgender, und viele andere Gruppen?
Die Antwort kennen wir alle.
Eine Sprache entwickelt sich, wie wahr, aber nicht durch den politisch motivierten moralischen Zeigefinger."
;"More84: ""Jetzt wird von vielen Menschen wieder das Bedürfnis für die Einführung neuer Ausdrucksmöglichkeiten gesehen. Die neuen Ausdrücke haben sich mittlerweile schon recht weit durchgesetzt."" Eben nicht. Laut Umfragen lehnt die große Mehrheit der Deutschen die Gendersprache ab. Nur ein kleine Minderheit aus dem akademischen links-grünen Milieu wittert Diskriminierung und meint der Mehrheit eine andere Sprache aufoktroyieren zu müssen";"ekki: Vielleicht lernen diese Leute dann – sollten sie überhaupt lernfähig sein –, zwischen Bedürfnissen und Pseudobedürfnissen zu unterscheiden!
Das scheint mir das Hauptproblem bei dieser Diskussion zu sein.";;Elias-ZZKPaGU73: Genau. Und dann 1000 verschiedene Anreden konstruieren, damit sich auch ja niemand ausgegrenzt fühlt;"Paxvo: Ich bitte um freundliche Erklärung, wie einem dritten und vierten Geschlecht dadurch Reverenz erweisen werden will, wenn man es schriftlich nicht mit Worten und Buchstaben beschreibt, sondern nur markiert (*!), und mündlich einen kurzen Knacklaut ""grunzt"".

So etwa habe ich gestern Zeit zu diesem Artikel geschrieben, und gehe wegen des überlangen Zeitablaufs nun davon aus, dass der Kommentar herausgesiebt wurde.

Offenbar hat in der Redaktion bisher nicht verstanden, dass ich damit keine Personengruppe angegriffen habe, sondern ein fragwürdiges STILMITTEL, das
doch in der Absicht eigentlich Wertschätzung bringen soll, zur Diskussion stellen möchte - und dabei allerdings (selbstverständlich) auch eine eigene Stellungnahme abgebe. Also: Ich würde mit mit einem Knacklaut nicht wertgeschätzt fühlen, im Gegenteil."
;panache79: Neues aus dem links grünen Kulturkreis von Winterwind!!!;"gsbln: Es ist für mich erfrischend, mal einen humorvollen anderen Blick, auch Blick über den Tellerrand Deutschland zu bekommen.
Je mehr gegendert wird, um so mehr stört es mich. Für mich ist dieses ""sexen"" tatsächlich belästigend. Was geht mein Gegenüber an, ob ich f/m/d/n bin? Es sei denn, es geht um Flirterie, und selbst da sind ja die Grenzen inzwischen vielfach fließend zwischen den Geschlechtern.
Verschiedene Begriffe zu benutzen, ermöglicht auch eine Ungleichbehandlung und schafft mitnichten Akzeptanz.
Feministinnen beklagen, dass sie mit dem generischen Maskulinum mitgemeint seien, weil es halt jede Person unabhängig vom Geschlecht meint. Die im Deutschen gefundenen Lösungen, Tendenz Genersternchen machen aber das Gleiche mit Personen, die sich nicht binär zuordnen können oder wollen. Für die gibt es die Sprechpause und das *. Nicht gerade respektvoll, finde ich.
Und neben Frauen werden auch andere Gruppen benachteiligt im Alltag (mindestens gefühlt) wie Personen mit schwer auszusprechendem Namen, vermutetem Migrationshintergrund etc. Daher wäre eine eigene Bezeichnung für ""Schwarze"" doch auch angebracht, um sie sichtbar zu machen, oder?

Wenn Frauen selbstverständlich ""Männerberufe"" ergreifen, und ehrgeizig genug sind, sich nicht beim ersten Kind in Teilzeit zurückzuziehen und die Karriere schleifen zu lassen, dann wären viele Frauen auch sichtbarer. Klar, ist es schön, Mutter zu sein. Vater zu sein aber auch. Und auch in Teilzeit kann man oft Führungsarbeit leisten, gerade ohne Anwesenheitspflicht im Betrieb.
Wer ins amerikanische Fernsehen schaut, findet selbstverständlich die Börsenmeldungen von Frauen vorgetragen, findet auf gefühlt jeder Demo oder Pressekonferenz einen Gebärdendolmetscher usw.
Frauen als Fußballkommentatoren, Lokführer, Bus- oder Taxifahrer, Kranführer, Architekten, Bauleiter usw. halte ich für selbstverständlich.";;"KeyserSoze: Geburtshelfer steht nicht zur Diskussion, da die offizielle Berufsbezeichnung ja ""Hebamme"" lauten soll.
Die Frage ist, ob der, die oder das., oder was auch immer. Sehen Sie nicht die Inkonsistenzen, in die man zwangsläufig gerät, wenn man versucht eine Sprache destruktiv zu verändern?";
;"rp-oskar: ""Jetzt wird von vielen Menschen wieder das Bedürfnis für die Einführung neuer Ausdrucksmöglichkeiten gesehen."" Wieviele?";;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
